3314,abdelal01,Alaa,,Abdelnaby,82,240,Duke,1968-06-24,Cairo,,B
3315,abdulka01,Kareem,,Abdul-Jabbar,85,225,UCLA,1947-04-16,New York,,B
3316,abdulma01,Mahdi,,Abdul-Rahman,74,185,UCLA,1942-04-15,Wilmington,2011-11-18,B
3317,abdulma02,Mahmoud,,Abdul-Rauf,73,162,Louisiana State,1969-03-09,Gulfport,,B
3318,abdulta01,Tariq,,Abdul-Wahad,78,223,San Jose State,1974-11-03,Maisons Alfort,,B
3319,abdulza01,Zaid,,Abdul-Aziz,81,230,Iowa State,1946-04-07,Brooklyn,,B
3320,ablefo01,Forest,Edward,Able,75,180,Western Kentucky,1932-07-27,,,W
3321,abramjo01,John,,Abramovic,75,195,Salem,1919-02-09,Etna,2000-06-09,W
3322,ackeral01,Alex,,Acker,77,185,Pepperdine,1983-01-21,Compton,,B
3323,acresma01,Mark,Richard,Acres,83,220,Oral Roberts,1962-11-15,Inglewood,,W
3324,adamsal01,Alvan,Leigh,Adams,81,210,Oklahoma,1954-07-19,Lawrence,,W
3325,adamsge01,George,,Adams,77,210,Gardner-Webb,1949-05-15,Kings Mountain,,B
3326,adamsha01,Hassan,Olawale,Adams,76,220,Arizona,1984-06-20,Inglewood,,B
3327,adamsmi01,Michael,,Adams,70,162,Boston College,1963-01-19,Hartford,,B
3328,addisra01,Rafael,,Addison,79,215,Syracuse,1964-07-22,Jersey City,,B
3329,adrieje01,Jeff,,Adrien,79,243,Connecticut,1986-02-10,Brookline,,B
3330,agerma01,Maurice,Darnell,Ager,77,202,Michigan State,1984-02-09,Detroit,,B
3331,aguirma01,Mark,Anthony,Aguirre,78,232,DePaul,1959-12-10,Chicago,,B
3332,akinhe01,Henry,T.,Akin,82,225,Morehead State,1944-07-31,Detroit,,W
3333,alarima01,Mark,Steven,Alarie,80,217,Duke,1963-12-11,Phoenix,,W
3334,alcorga01,Gary,R.,Alcorn,81,225,Fresno State,1936-10-08,,2006-11-29,W
3335,aldrico01,Cole,David,Aldrich,83,245,Kansas,1988-10-31,Burnsville,,W
3336,aldrila01,LaMarcus,Nurae,Aldridge,83,240,Texas,1985-07-19,Dallas,,B
3337,alexaco01,Cory,Lynn,Alexander,73,185,Virginia,1973-06-22,Waynesboro,,B
3338,alexaco02,Courtney,Jason,Alexander,77,205,Fresno State,1977-04-27,Bridgeport,,B
3339,alexaga01,Gary,R.,Alexander,79,240,Jacksonville,1969-11-01,Jacksonville,,B
3340,alexavi01,Victor,Joe,Alexander,81,265,Iowa State,1969-08-31,Detroit,,B
3341,allenje01,Jerome,Byron,Allen,76,184,Pennsylvania,1973-01-28,Philadelphia,,B
3342,allenla01,Lavoy,,Allen,81,225,Temple,1989-02-04,Trenton,,B
3343,allenlu01,Lucius,Oliver,Allen,74,175,UCLA,1947-09-26,Kansas City,,B
3344,allenma01,Malik,,Allen,82,255,Villanova,1978-06-27,Willingboro,,B
3345,allenwi01,Willie,,Allen,78,230,Miami (FL),1949-02-08,,,B
3346,allisod01,Odis,,Allison,78,195,UNLV,1949-10-02,,,B
3347,allrela01,Lance,Collin,Allred,83,250,Weber State,1981-02-02,Salt Lake City,,W
3348,allumda01,Darrell,Wilbert,Allums,80.5,220,UCLA,1958-09-12,Los Angeles,,B
3349,almonmo01,Morris,,Almond,78,215,Rice,1985-02-02,Dalton,,B
3350,alstode01,Derrick,Samuel,Alston,83,225,Duquesne,1972-08-20,Bronx,,B
3351,alstora01,Rafer,Jamel,Alston,74,171,Fresno State,1976-07-24,New York,,B
3352,alumape01,Peter,,Aluma,82,260,Liberty,1973-04-23,"Agbe, Lagos",,B
3353,amaecjo01,John,Ekwugha,Amaechi,81,270,Penn State,1970-11-26,Boston,,B
3354,amayaas01,Ashraf,,Amaya,79,230,Southern Illinois,1971-11-23,Oak Park,,B
3355,aminual01,Al-Farouq,,Aminu,81,215,Wake Forest,1990-09-21,Atlanta,,B
3356,amundlo01,Louis,Gabriel,Amundson,81,225,UNLV,1982-12-07,Ventura,,W
3357,anderal01,Alan,Jeffery,Anderson,78,220,Michigan State,1982-10-16,Minneapolis,,B
3358,anderch01,Chris,,Andersen,82,220,Blinn CC,1978-07-07,Iola,,W
3359,anderda02,Daniel,Edward,Anderson,74,185,USC,1951-01-01,,,W
3360,anderde01,Derek,Lamont,Anderson,76,194,Kentucky,1974-07-18,Louisville,,B
8357,youngdr01,Draff,,Young,0,0,,,,,
3361,anderdw01,Dwight,Anthony,Anderson,75,175,USC,1960-12-28,Dayton,,B
3362,anderer01,Eric,Walfred,Anderson,81,220,Indiana,1970-05-26,Chicago,,W
3363,anderja01,James,Lee,Anderson,78,215,Oklahoma State,1989-03-25,El Dorado,,B
3364,anderje01,Jerome,,Anderson,77,195,West Virginia,1953-10-09,Mullens,2009-08-01,B
3365,andermi01,Michael,Levin,Anderson,71,184,Drexel,1966-03-23,Philadelphia,,B
3366,anderri01,Richard,Andrew,Anderson,82,240,Cal. St.-Santa Barbara,1960-11-19,San Pedro,,W
3367,andersh01,Shandon,Rodriguez,Anderson,78,208,Georgia,1973-12-31,Atlanta,,B
3368,anderwi01,Willie,Lloyd,Anderson,79,190,Georgia,1967-01-08,Greenville,,B
3369,andrima01,Martynas,,Andriuskevicius,86,240,none,1986-03-12,Kaunas,,W
3370,anslemi01,Michael,Antonio,Ansley,79,225,Alabama,1967-02-08,Birmingham,,B
3371,anthoca01,Carmelo,Kyam,Anthony,80,220,Syracuse,1984-05-29,Brooklyn,,B
3372,araujra01,Rafael,Paulo,Araujo,83,290,Brigham Young,1980-08-12,Curitiba,,W
3373,arcenst01,Stacey,,Arceneaux,76,210,Iowa State (dnp) ?,1936-02-17,,,B
3374,archiro01,Robert,Michael,Archibald,83,250,Illinois,1980-03-29,Paisley,,W
3375,arenagi01,Gilbert,Jay,Arenas,75,191,Arizona ,1982-01-06,Tampa,,B
3376,arizatr01,Trevor,Anthony,Ariza,79,194,UCLA,1985-06-30,Miami,,B
3377,arizipa01,Paul,Joseph,Arizin,74,190,Villanova,1928-04-09,Philadelphia,2006-12-12,W
3378,armstbr01,Brandon,Simone,Armstrong,77,185,Pepperdine,1980-06-16,San Francisco,,B
3379,armstda01,Darrell,Eugene,Armstrong,72,169,Fayetteville State,1968-06-22,Gastonia,,B
3380,armsthi01,Hilton,A.,Armstrong,83,235,Connecticut,1984-11-11,Peekskill,,B
3381,arnetja01,Jay,Hoyland,Arnette,74,175,Texas,1938-12-19,Austin,,W
3382,arthujo01,John,Charles,Arthurs,76,185,Tulane,1947-08-15,,,W
3383,asikom01,Omer,Faruk,Asik,84,255,none,1986-07-04,Bursa,,W
3384,askewvi01,Vincent,Jerome,Askew,77,210,Memphis State,1966-02-28,Memphis,,B
3385,askinke01,Keith,Bernard,Askins,79,197,Alabama,1967-12-15,Athens,,B
3386,augmost01,Stacey,Orlando,Augmon,78,205,UNLV,1968-08-01,Pasadena,,B
3387,augusja01,James,Dale,Augustine,82,235,Illinois,1984-02-27,Midlothian,,W
3388,austiis01,Isaac,Edward,Austin,82,255,Arizona State,1969-08-18,Gridley,,B
3389,austike01,Ken,,Austin,81,200,Rice,1961-07-15,Los Angeles,,B
3390,aventan01,Anthony,,Avent,81,235,Seton Hall,1969-10-18,Rocky Mount,,B
3391,averywi01,William,,Avery,74,180,Duke,1979-08-08,Augusta,,B
3392,awtrede01,Dennis,Wade,Awtrey,82,235,Santa Clara,1948-02-22,Hollywood,,W
3393,azubuke01,Kelenna,David,Azubuike,77,220,Kentucky,1983-12-16,London,,B
3394,babbilu01,Luke,Robert,Babbitt,81,225,Nevada-Reno,1989-06-20,Cincinnati,,W
3395,babicmi01,Milos,,Babic,84,240,Tennessee Tech,1968-11-23,Kraljevo,,W
3396,bagarda01,Dalibor,,Bagaric,85,255,none,1980-02-07,Munich,,W
3397,baglejo01,John,Edward,Bagley,72,185,Boston College,1960-04-23,Bridgeport,,B
3398,baileca01,Carl,,Bailey,84,210,Tuskegee,1958-04-23,Birmingham,,B
3399,baileja01,James,L.,Bailey,81,220,Rutgers,1957-05-21,Dublin,,B
3400,baileth01,Thurl,Lee,Bailey,83,215,North Carolina State,1961-04-07,Washington,,B
3401,bakerji01,Jimmie,,Baker,81,220,Hawaii,1953-12-25,Philadelphia,,B
3402,bakerla01,LaMark,Anthony,Baker,73,175,Ohio State,1969-11-11,Dayton,,B
3403,bakerma01,Maurice,,Baker,73,175,Oklahoma State,1979-07-28,Granite City,,B
3404,balkmre01,Renaldo,,Balkman,80,208,South Carolina,1984-07-14,Staten Island,,B
3405,ballce01,Cedric,Glenn,Ball,80,210,UNC-Charlotte,1968-04-16,Worcester,,B
3406,baltihe01,Herschel,David,Baltimore,76,195,Penn State,1921-06-21,(ht) New Castle,1968-01-01,W
3407,bankswa01,Walker,Burrell,Banks,82,205,Western Kentucky,1947-08-26,,,B
3408,barbejo01,John,,Barber,78,210,Los Angeles State,1927-06-27,,,B
3409,barbole01,Leandro,Mateus,Barbosa,75,176,none,1982-11-28,Sao Paulo,,B
3410,bargnan01,Andrea,,Bargnani,84,225,none,1985-10-26,Rome,,W
3411,barklch01,Charles,Wade,Barkley,77,250,Auburn,1963-02-20,Leeds,,B
3412,barkler01,Erick,,Barkley,73,177,St. John's (NY),1978-02-21,Brooklyn,,B
3413,barneha01,Harry,J.,Barnes,75,205,Northeastern,1945-07-25,Youngstown,,B
3414,barnema01,Marvin,Jerome,Barnes,80,210,Providence,1952-07-27,Providence,,B
3415,barnema02,Matt,Kelly,Barnes,79,235,UCLA,1980-03-09,Santa Clara,,B
3416,barnhjo01,John,Anthony,Barnhill,73,170,Tennessee State,1938-03-20,Evansville,,B
3417,barnhno01,Norton,,Barnhill,76,205,Washington State,1953-07-15,Winston-Salem,,B
3418,barrean01,Andre,Rashawd,Barrett,70,172,Seton Hall,1982-02-21,Bronx,,B
3419,barreer01,Ernie,Drew,Barrett,75,180,Kansas State,1929-08-27,Pratt,,W
3420,barroda01,Dana,Bruce,Barros,71,163,Boston College,1967-04-13,Boston,,B
3421,barroea01,Earl,Daniel,Barron,84,245,Memphis,1981-08-14,Clarksdale,,B
3422,barrybr01,Brent,Robert,Barry,78,185,Oregon State,1971-12-31,Hempstead,,W
3423,barrydr01,Drew,William,Barry,77,190,Georgia Tech,1973-02-17,Oakland,,W
3424,barryjo01,Jon,Alan,Barry,76,195,Georgia Tech,1969-07-25,Oakland,,W
3425,baskeje01,Jerry,W.,Baskerville,79,190,Temple,1951-11-10,Philadelphia,,B
3426,bassbr01,Brandon,Sam,Bass,80,240,Louisiana State,1985-04-30,Baton Rouge,,B
3427,bastoma01,Maceo,Demond,Baston,81,215,Michigan ,1975-05-29,Corsicana,,B
3428,bateeme01,Mengke,,Bateer,83,290,none,1975-11-20,Inner Mongolia,,O
3429,battish01,Shane,Courtney,Battier,80,220,Duke,1978-09-09,Birmingham,,B
3430,battljo01,John,Sidney,Battle,74,175,Rutgers,1962-11-09,Washington,,B
3431,battsll01,Lloyd,,Batts,76,185,Cincinnati,1951-05-09,Chicago,,B
3432,baxtelo01,Lonny,Leroy,Baxter,79,260,Maryland,1979-07-27,Silver Spring,,B
3433,bayloel01,Elgin,Gay,Baylor,77,225,Seattle,1934-09-16,Washington,,B
3434,bayneho01,Howard,Edgar,Bayne,78,235,Tennessee,1942-07-28,(ht) Dayton,,W
3435,bazarse01,Sergei,Valeryanovich,Bazarevich,74,162,State Academy of Phys Ed.,1965-03-16,Moscow,,W
3436,beardra01,Ralph,Milton,Beard,70,175,Kentucky,1927-12-02,Hardinsburg,2007-11-29,W
3437,beaslje01,Jerome,,Beasley,81,237,North Dakota,1980-05-17,Compton,,B
3438,beasljo01,John,Michael,Beasley,81,225,Texas A&M,1944-02-05,Texarkana,,W
3439,beatyze01,Zelmo,,Beaty,81,225,Prairie View A&M,1939-10-25,Hillister,,B
3440,beckco01,Corey,Laveon,Beck,73,190,Arkansas,1971-05-27,Memphis,,B
3441,bedfowi01,William,,Bedford,84,225,Memphis State,1963-12-14,Memphis,,B
3442,behnkel01,Elmer,H.,Behnke,79,210,Bradley,1929-02-03,Rockford,,W
3443,bellch01,Charlie,Will,Bell,75,200,Michigan State,1979-03-12,Flint,,B
3444,bellde01,Dennis,R.,Bell,77,185,Drake,1951-06-02,Cincinnati,,B
3445,bellra01,Raja,,Bell,77,210,Florida International,1976-09-19,St. Croix,,B
3446,belltr01,Troy,Devon,Bell,73,180,Boston College,1980-11-10,Minneapolis,,B
3447,benbole01,Leon,,Benbow,76,185,Jacksonville,1950-07-23,Columbia,,B
3448,bendejo01,Jonathan,Rene,Bender,83,198,none,1981-01-30,Picayune,,B
3449,benjaco01,Corey,Dwight,Benjamin,78,200,Oregon State,1978-02-24,Compton,,B
3450,benneel01,Elmer,James,Bennett,72,170,Notre Dame,1970-02-13,Evanston,,B
3451,bennema01,Mario,Marcell,Bennett,81,220,Arizona State,1973-08-01,Denton,,B
3452,bennewi01,Winston,George,Bennett,79,210,Kentucky,1965-02-09,Louisville,,B
3453,benoida01,David,,Benoit,80,220,Alabama,1968-05-09,Lafayette,,B
3454,bensoke02,Keith,A.,Benson,83,230,Oakland,1988-08-13,Cleveland,,B
3455,bergega01,Gary,Dean,Bergen,80,210,Utah,1932-07-16,Independence,,W
7630,gardnbe01,Ben,,Gardner,75,190,Sam Houston State,,,,W
3456,berghla01,Larry,Clifford,Bergh,79.5,210,Weber State,1945-04-02,(ht) Walla Walla,,W
3457,berryri01,Ricky,Alan,Berry,80,205,San Jose State,1964-10-06,Lansing,1989-08-14,B
3458,berrywa01,Walter,,Berry,80,215,St. John's (NY),1964-05-14,New York,,B
3459,besttr01,Travis,Eric,Best,71,182,Georgia Tech,1972-07-12,Springfield,,B
3460,biedran01,Andris,,Biedrins,83,240,none,1986-04-02,Riga,,1
3461,billuch01,Chauncey,Ray,Billups,75,202,Colorado,1976-09-25,Denver,,B
3462,biniojo01,Joe,,Binion,80,225,North Carolina A&T,1961-03-26,Rochester,,B
3463,birdje01,Jerry,Lee,Bird,78,200,Kentucky,1935-02-02,Corbin,,W
3464,birdla01,Larry,Joe,Bird,81,220,Indiana State,1956-12-07,West Baden,,W
3465,birdsot01,Otis,Lee,Birdsong,75,190,Houston,1955-12-09,Winter Haven,,B
3466,blabuw01,Uwe,Konstantine,Blab,85,250,Indiana,1962-03-26,Munich,,W
3467,blackco01,Cory,,Blackwell,78,210,Wisconsin,1963-03-27,Chicago,,B
3468,blackja01,James,,Blackwell,72,190,Dartmouth,1968-02-25,Mount Kisco,,B
3469,blackno01,Norman,Augustus,Black,77,185,St. Joseph's (PA),1957-11-12,Baltimore,,B
3470,blackro01,Rolando,Antonio,Blackman,78,190,Kansas State,1959-02-26,Panama City,,B
3471,blanege01,George,R.,Blaney,73,175,Holy Cross,1939-11-12,Jersey City,,W
3472,blankla01,Lance,,Blanks,76,190,Texas,1966-09-09,Del Rio,,B
3473,blantri01,Ricky,Wayne,Blanton,79,215,Louisiana State,1966-04-21,Miami,,W
3474,blatcan01,Andray,,Blatche,83,235,none,1986-08-22,Syracuse,,B
3475,bledser01,Eric,,Bledsoe,73,195,Kentucky,1989-12-09,Birmingham,,B
3476,blevile01,Leon,Gravette,Blevins,74,160,Arizona,1926-06-25,,,W
3477,blockjo01,John,William,Block,81,207,USC,1944-04-16,Los Angeles,,W
3478,blounco01,Corie,Kasoun,Blount,81,240,Cincinnati,1969-01-04,Monrovia,,B
3479,blounma01,Mark,D.,Blount,84,230,Pittsburgh,1975-11-30,Dobbs Ferry,,B
3480,bobbito01,Tony,Rachaun,Bobbitt,76,190,Cincinnati,1979-10-22,Daytona,,B
3481,bobbne01,Nelson,S.,Bobb,72,170,Temple,1924-02-25,Philadelphia,2003-12-08,W
3482,boganke01,Keith,Ramon,Bogans,77,215,Kentucky,1980-05-12,Washington,,B
3483,bogutan01,Andrew,Michael,Bogut,84,245,Utah,1984-11-28,Melbourne,,W
3484,bohanet01,Etdrick,,Bohannon,81,220,Auburn-Montgomery,1973-05-29,San Bernardino,,B
3485,bolma01,Manute,,Bol,90,200,Bridgeport,1962-10-16,Gogrial,2010-06-19,B
3486,bondwa01,Walter,,Bond,77,200,Minnesota,1969-02-01,Chicago,,B
3487,boneyde01,Dexter,Lyndell,Boney,76,185,UNLV,1970-04-27,Wilmington,,B
3488,bonnean01,Anthony,,Bonner,80,215,St. Louis,1968-06-08,St. Louis,,B
