1,abramjo01,1946,PIT,NBA,47,527,202,123
2,aubucch01,1946,DTF,NBA,30,65,23,19
3,bakerno01,1946,CHS,NBA,4,0,0,0
4,baltihe01,1946,STB,NBA,58,138,53,32
5,barrjo01,1946,STB,NBA,58,295,124,47
6,baumhfr01,1946,CLR,NBA,45,631,255,121
7,beckemo01,1946,PIT,NBA,17,108,46,16
8,beckemo01,1946,BOS,NBA,6,13,5,3
9,beckemo01,1946,DTF,NBA,20,41,19,3
10,beendha01,1946,PRO,NBA,58,713,266,181
11,biasaha01,1946,TRH,NBA,6,6,2,2
12,brighal01,1946,BOS,NBA,58,567,223,121
13,brindau01,1946,NYK,NBA,12,34,14,6
14,brownha01,1946,DTF,NBA,54,264,95,74
15,brownle01,1946,CLR,NBA,5,0,0,0
16,byrneto01,1946,NYK,NBA,60,453,175,103
17,bytzumi01,1946,PIT,NBA,60,210,87,36
18,callato01,1946,PRO,NBA,13,17,6,5
19,calveer01,1946,PRO,NBA,59,845,323,199
20,carlich01,1946,CHS,NBA,51,256,100,56
21,carlsdo01,1946,CHS,NBA,59,630,272,86
22,cluggbo01,1946,NYK,NBA,54,238,93,52
23,connoch01,1946,BOS,NBA,49,227,94,39
24,corleke01,1946,CLR,NBA,3,0,0,0
25,crislha01,1946,BOS,NBA,4,6,2,2
26,curear01,1946,PRO,NBA,12,10,4,2
27,dallmho01,1946,PHW,NBA,60,528,199,130
28,davisau01,1946,STB,NBA,59,287,107,73
29,davisbi01,1946,CHS,NBA,47,84,35,14
30,dehnehe01,1946,PRO,NBA,10,14,6,2
31,dillebo01,1946,DTF,NBA,57,296,111,74
32,dollbo01,1946,STB,NBA,60,522,194,134
33,duffybo01,1946,CHS,NBA,11,11,5,1
34,duffybo01,1946,BOS,NBA,6,8,2,4
35,eliasdo01,1946,BOS,NBA,1,0,0,0
36,endrene01,1946,CLR,NBA,16,14,3,8
37,fabeljo01,1946,PIT,NBA,30,63,25,13
38,faughbo01,1946,CLR,NBA,51,343,141,61
39,feeribo01,1946,WSC,NBA,55,926,364,198
40,fenlewa01,1946,BOS,NBA,33,85,31,23
41,fitzgbo01,1946,TRH,NBA,31,139,47,45
42,fitzgbo01,1946,NYK,NBA,29,82,23,36
43,fitzgdi01,1946,TRH,NBA,60,277,118,41
44,fleisje01,1946,PHW,NBA,59,263,97,69
45,frankna01,1946,PIT,NBA,6,16,4,8
46,freyfr01,1946,NYK,NBA,23,88,28,32
47,fucarfr01,1946,TRH,NBA,28,140,53,34
48,fulksjo01,1946,PHW,NBA,60,1389,475,439
49,ganttbo01,1946,WSC,NBA,23,71,29,13
50,garfija01,1946,BOS,NBA,40,179,81,17
51,getchgo01,1946,PIT,NBA,16,5,0,5
52,gillege01,1946,WSC,NBA,14,8,1,6
53,gilmuch01,1946,CHS,NBA,51,178,76,26
54,goldfbe01,1946,WSC,NBA,2,2,0,2
55,goodwpo01,1946,PRO,NBA,55,256,98,60
56,gottlle01,1946,NYK,NBA,57,334,149,36
57,graywy01,1946,BOS,NBA,55,350,139,72
58,grimswo01,1946,PRO,NBA,21,61,20,21
59,gunthco01,1946,PIT,NBA,52,734,254,226
60,guokama01,1946,PHW,NBA,47,82,28,26
61,halbech01,1946,CHS,NBA,61,773,280,213
62,hankice01,1946,STB,NBA,55,324,117,90
63,hermskl01,1946,CLR,NBA,11,43,18,7
64,hermskl01,1946,TRH,NBA,21,254,95,64
65,hertzso01,1946,NYK,NBA,59,515,201,113
66,hillhar01,1946,PHW,NBA,60,360,120,120
67,hirscme01,1946,BOS,NBA,13,19,9,1
68,hoefech01,1946,TRH,NBA,23,140,54,32
69,hoefech01,1946,BOS,NBA,35,211,76,59
70,hurlero01,1946,TRH,NBA,46,239,100,39
71,jacobfr01,1946,STB,NBA,18,50,19,12
72,janisjo01,1946,DTF,NBA,60,697,283,131
73,jarosto01,1946,CHS,NBA,59,482,177,128
74,johnsha01,1946,DTF,NBA,27,15,4,7
75,jorgeno01,1946,PIT,NBA,15,66,25,16
76,jorgero01,1946,PIT,NBA,28,41,14,13
77,kaplora01,1946,NYK,NBA,27,194,71,52
78,kaplora01,1946,PHW,NBA,30,209,75,59
79,kappeto01,1946,PIT,NBA,41,310,103,104
80,kappeto01,1946,BOS,NBA,18,74,25,24
81,kasided01,1946,TRH,NBA,8,12,6,0
82,kautzwi01,1946,CHS,NBA,50,253,107,39
83,kelleke01,1946,WSC,NBA,25,22,10,2
84,kelleke01,1946,PRO,NBA,3,0,0,0
85,kellyje01,1946,BOS,NBA,43,256,91,74
86,kingto01,1946,DTF,NBA,58,295,97,101
87,knorele01,1946,NYK,NBA,22,171,62,47
88,kottmha01,1946,BOS,NBA,53,165,59,47
89,lalicpe01,1946,CLR,NBA,1,0,0,0
90,lefkoha01,1946,CLR,NBA,24,51,22,7
91,lewisgr01,1946,DTF,NBA,60,287,106,75
92,loganjo01,1946,STB,NBA,61,770,290,190
93,lujacal01,1946,WSC,NBA,5,4,1,2
94,mahnkjo01,1946,WSC,NBA,60,557,223,111
95,mangifr01,1946,NYK,NBA,6,5,2,1
96,maravpr01,1946,PIT,NBA,51,234,102,30
97,martidi01,1946,PRO,NBA,60,733,311,111
98,martido01,1946,STB,NBA,54,191,89,13
99,maughar01,1946,DTF,NBA,59,532,224,84
100,mccarho01,1946,DTF,NBA,19,21,10,1
101,mccarmi01,1946,TRH,NBA,60,649,236,177
102,mckinho01,1946,WSC,NBA,58,695,275,145
103,mearnge01,1946,PRO,NBA,57,382,128,126
104,melvied01,1946,PIT,NBA,57,281,99,83
105,miasest01,1946,DTF,NBA,60,895,331,233
106,mihalre01,1946,PIT,NBA,7,6,3,0
107,militna01,1946,NYK,NBA,36,144,52,40
108,militna01,1946,TRH,NBA,21,100,38,24
109,milleha01,1946,TRH,NBA,53,152,58,36
110,millewa01,1946,PIT,NBA,12,23,7,9
111,millsjo01,1946,PIT,NBA,47,181,55,71
112,mogusle01,1946,CLR,NBA,17,209,73,63
113,mogusle01,1946,TRH,NBA,41,544,186,172
114,morgeel01,1946,PRO,NBA,11,15,4,7
115,mullebo01,1946,NYK,NBA,26,76,27,22
116,mullebo01,1946,TRH,NBA,28,238,98,42
117,munroge01,1946,STB,NBA,59,414,164,86
118,murphdi01,1946,NYK,NBA,24,32,14,4
119,murphdi01,1946,BOS,NBA,7,2,1,0
120,murphjo01,1946,NYK,NBA,9,24,8,8
121,murphjo01,1946,PHW,NBA,11,8,3,2
122,musian01,1946,PHW,NBA,60,562,230,102
123,negraal01,1946,WSC,NBA,11,31,13,5
124,norlajo01,1946,WSC,NBA,60,626,223,180
125,nostrge01,1946,TRH,NBA,13,116,46,24
126,nostrge01,1946,CLR,NBA,48,366,146,74
127,noszkst01,1946,PIT,NBA,58,507,199,109
128,ogradbu01,1946,WSC,NBA,55,148,55,38
129,oshiega01,1946,CHS,NBA,9,4,2,0
130,palmebu01,1946,NYK,NBA,42,401,160,81
131,parrado01,1946,CHS,NBA,58,272,110,52
132,passama01,1946,WSC,NBA,43,120,51,18
133,pastuge01,1946,PRO,NBA,39,121,48,25
134,pearcge01,1946,DTF,NBA,37,94,31,32
135,pearche01,1946,DTF,NBA,29,73,24,25
136,putnado01,1946,STB,NBA,58,380,156,68
137,rensbro01,1946,CHS,NBA,3,0,0,0
138,riebeme01,1946,CLR,NBA,55,663,276,111
139,rosenha01,1946,NYK,NBA,31,133,38,57
140,rosenha01,1946,PRO,NBA,29,249,81,87
141,rosenpe01,1946,PHW,NBA,51,150,60,30
142,rotheir01,1946,CLR,NBA,29,102,36,30
143,rottnmi01,1946,CHS,NBA,56,423,190,43
144,rouxgi01,1946,STB,NBA,60,354,142,70
145,rulloje01,1946,PHW,NBA,50,127,52,23
146,sadowed01,1946,TRH,NBA,10,191,73,45
147,sadowed01,1946,CLR,NBA,43,686,256,174
148,sailoke01,1946,CLR,NBA,58,577,229,119
149,scharbe01,1946,CLR,NBA,51,103,33,37
150,schecos01,1946,NYK,NBA,54,435,162,111
151,schoomi01,1946,DTF,NBA,41,120,43,34
152,schuldi01,1946,CLR,NBA,16,106,43,20
153,schuldi01,1946,TRH,NBA,41,248,87,74
154,scolafr01,1946,WSC,NBA,58,728,291,146
155,seminji01,1946,CHS,NBA,60,439,184,71
156,senesge01,1946,PHW,NBA,58,366,142,82
157,shabani01,1946,CLR,NBA,53,242,102,38
158,shannea01,1946,PRO,NBA,57,687,245,197
159,sheabo01,1946,PRO,NBA,43,93,37,19
160,shefffr01,1946,PHW,NBA,22,74,29,16
161,siewera01,1946,STB,NBA,7,4,1,2
162,siewera01,1946,TRH,NBA,14,16,5,6
163,simmoco01,1946,BOS,NBA,60,620,246,128
164,simmojo01,1946,BOS,NBA,60,318,120,78
165,smawlbe01,1946,STB,NBA,22,262,113,36
166,smithde01,1946,STB,NBA,48,73,32,9
167,sovragi01,1946,TRH,NBA,6,11,5,1
168,spectar01,1946,BOS,NBA,55,329,123,83
169,spicelo01,1946,PRO,NBA,4,1,0,1
170,stolkar01,1946,DTF,NBA,23,102,36,30
171,stutzst01,1946,NYK,NBA,60,477,172,133
172,sydnobu01,1946,CHS,NBA,15,15,5,5
173,torgoir01,1946,WSC,NBA,58,490,187,116
174,vanbrbi01,1946,NYK,NBA,16,25,7,11
